Unnamed: 0,macro_subject,domain_group,category_tag,open_status,paper_title,paper_id
1762,Algebra,Algebra and Representation Theory,Numerical semigroups / Wilf's conjecture,open,,1304.6552
1763,Number Theory,Number Theory,Iwasawa theory / Λ-modules,open,Seminar Notes on Open Questions in Iwasawa Theory - SNOQIT I: The Λ[G]-modules of Iwasawa theory II: Units and Kummer theory in Iwasawa extensions,1009.3729
1764,Algebra,Algebra and Representation Theory,Numerical semigroups,open,,1304.6552
1765,Number Theory,Number Theory,Gross-Kuzmin conjecture in Iwasawa theory,open,Seminar Notes on Open Questions in Iwasawa Theory - SNOQIT I: The Λ[G]-modules of Iwasawa theory II: Units and Kummer theory in Iwasawa extensions,1009.3729
1766,Algebra,Algebra and Representation Theory,Numerical semigroups,unknown,,1304.6552
1767,Number Theory,Number Theory,Leopoldt conjecture,open,Seminar Notes on Open Questions in Iwasawa Theory - SNOQIT I: The Λ[G]-modules of Iwasawa theory II: Units and Kummer theory in Iwasawa extensions,1009.3729
1768,Algebra,Algebra and Representation Theory,numerical semigroups,partially_solved,,1304.6552
1769,Number Theory,Number Theory,Iwasawa theory / Greenberg's generalized conjecture,open,Seminar Notes on Open Questions in Iwasawa Theory - SNOQIT I: The Λ[G]-modules of Iwasawa theory II: Units and Kummer theory in Iwasawa extensions,1009.3729
1770,Algebra,Algebra and Representation Theory,numerical semigroups and Wilf's conjecture,unknown,,1304.6552
1771,Number Theory,Number Theory,Iwasawa theory / Gross–Kuz'min conjecture,partially_solved,Seminar Notes on Open Questions in Iwasawa Theory - SNOQIT I: The Λ[G]-modules of Iwasawa theory II: Units and Kummer theory in Iwasawa extensions,1009.3729
1772,Algebra,Algebra and Representation Theory,Numerical semigroups,partially_solved,,1304.6552
1773,Probability,"Probability, Statistics, and ML",disordered copolymer models,partially_solved,Copolymers at selective interfaces: settled issues and open problems,1010.5587
1774,Algebra,Algebra and Representation Theory,numerical semigroups,open,,1304.6552
1775,Probability,"Probability, Statistics, and ML",disordered copolymer models,unknown,Copolymers at selective interfaces: settled issues and open problems,1010.5587
1776,Algebra,Algebra and Representation Theory,numerical semigroups,unknown,,1304.6552
1777,Probability,"Probability, Statistics, and ML",disordered copolymer models,open,Copolymers at selective interfaces: settled issues and open problems,1010.5587
1778,Algebra,Algebra and Representation Theory,numerical semigroups,unknown,,1304.6552
1779,Probability,"Probability, Statistics, and ML",disordered copolymer models,open,Copolymers at selective interfaces: settled issues and open problems,1010.5587
1780,Algebra,Algebra and Representation Theory,Numerical semigroups,unknown,,1304.6552
1781,Probability,"Probability, Statistics, and ML",Disordered polymer models,open,Copolymers at selective interfaces: settled issues and open problems,1010.5587
1782,Algebra,Algebra and Representation Theory,numerical semigroups,unknown,,1304.6552
1783,Probability,"Probability, Statistics, and ML",disordered polymer models,open,Copolymers at selective interfaces: settled issues and open problems,1010.5587
1784,Algebra,Algebra and Representation Theory,numerical semigroups / Frobenius varieties,unknown,,1304.6552
1785,Probability,"Probability, Statistics, and ML",Copolymer pinning models,unknown,Copolymers at selective interfaces: settled issues and open problems,1010.5587
1786,Combinatorics,Discrete Mathematics and Combinatorics,numerical semigroups and Frobenius varieties,open,,1304.6552
1787,Mathematical Physics,Mathematical Physics,Flavor physics and CKM unitarity,partially_solved,"Status, open problems and prospects of the decay B+ → ℓ+νℓ",1012.1224
1788,Combinatorics,Discrete Mathematics and Combinatorics,numerical semigroups,open,,1304.6552
1789,Mathematical Physics,Mathematical Physics,Charged Higgs constraints from leptonic B decays,unknown,"Status, open problems and prospects of the decay B+ → ℓ+νℓ",1012.1224
1790,Algebra,Algebra and Representation Theory,numerical semigroups and Wilf's conjecture,open,,1304.6552
1791,Mathematical Physics,Mathematical Physics,B meson leptonic decays and experimental systematics,unknown,"Status, open problems and prospects of the decay B+ → ℓ+νℓ",1012.1224
1792,Algebra,Algebra and Representation Theory,Numerical semigroups / Frobenius varieties,unknown,,1304.6552
1793,Mathematical Physics,Mathematical Physics,particle physics detector optimization,unknown,"Status, open problems and prospects of the decay B+ → ℓ+νℓ",1012.1224
1794,Algebra,Algebra and Representation Theory,numerical semigroups,unknown,,1304.6552
1795,Algebra,Algebra and Representation Theory,Numerical semigroups,open,,1304.6552
1796,Algebra,Algebra and Representation Theory,numerical semigroups,unknown,,1304.6552
1797,Algebra,Algebra and Representation Theory,numerical semigroups and gluing,open,,1304.6552
1798,Algebra,Algebra and Representation Theory,numerical semigroups,open,,1304.6552
1799,Algebra,Algebra and Representation Theory,Numerical semigroups and quotient monoids,unknown,,1304.6552
1800,Number Theory,Number Theory,Pairwise coprimality conditions,unknown,,1304.6552
1801,Algebra,Algebra and Representation Theory,Numerical semigroups,open,,1304.6552
1802,Number Theory,Number Theory,proportionally modular numerical semigroups,open,,1304.6552
1803,Algebra,Algebra and Representation Theory,Numerical semigroups,unknown,,1304.6552
1804,Algebra,Algebra and Representation Theory,Numerical semigroups and sets of lengths,solved,,1304.6552
1805,Algebra,Algebra and Representation Theory,Factorization invariants of numerical semigroups,solved,,1304.6552
1806,Algebra,Algebra and Representation Theory,Numerical semigroups and factorization invariants,solved,,1304.6552
1807,PDEs and Dynamical Systems,"Analysis, PDEs, and Dynamics",bilinear quantum control,open,,1304.7181
1808,PDEs and Dynamical Systems,"Analysis, PDEs, and Dynamics",Bilinear quantum control,unknown,,1304.7181
1809,PDEs and Dynamical Systems,"Analysis, PDEs, and Dynamics",Bilinear quantum control,open,,1304.7181
1810,PDEs and Dynamical Systems,"Analysis, PDEs, and Dynamics",bilinear quantum control,unknown,,1304.7181
1811,PDEs and Dynamical Systems,"Analysis, PDEs, and Dynamics",Bilinear quantum control / Galerkin approximation,unknown,,1304.7181
1812,PDEs and Dynamical Systems,"Analysis, PDEs, and Dynamics",turbulence and chaotic dynamics,open,,1305.2864
1813,PDEs and Dynamical Systems,"Analysis, PDEs, and Dynamics",Navier–Stokes turbulence and rough dependence,open,,1305.2864
1814,Mathematical Physics,Mathematical Physics,arrow of time and chaos,open,,1305.2864
1815,PDEs and Dynamical Systems,"Analysis, PDEs, and Dynamics",predator-prey dynamics,partially_solved,,1305.2864
1816,PDEs and Dynamical Systems,"Analysis, PDEs, and Dynamics",predator-prey pest control models,partially_solved,,1305.2864
1817,PDEs and Dynamical Systems,"Analysis, PDEs, and Dynamics",reaction-advection-diffusion coexistence models,partially_solved,,1305.2864
1818,Topology,Geometry and Topology,Hirzebruch signature theorem,open,,1305.4623
1819,Geometry,Geometry and Topology,Integrable G-structures,open,,1305.4623
1820,Geometry,Geometry and Topology,Pfaffian equations of constant class,open,,1305.4623
1821,Topology,Geometry and Topology,embeddings of real projective spaces,open,,1305.4623
1822,Geometry,Geometry and Topology,Negatively curved surfaces in Euclidean space,open,,1305.4623
1823,Geometry,Geometry and Topology,Almost complex manifolds and Dolbeault cohomology,partially_solved,,1305.4623
1824,Geometry,Geometry and Topology,Complex structures on projective spaces,open,,1305.4623
1825,Geometry,Geometry and Topology,Complex structures on projective space,partially_solved,,1305.4623
1826,Geometry,Geometry and Topology,Complex structures on 4-manifolds,open,,1305.4623
1827,Geometry,Geometry and Topology,Hodge and Chern numbers of projective varieties,solved,,1305.4623
1828,Geometry,Geometry and Topology,Finite-type submanifolds,open,,1307.6582
1829,Geometry,Geometry and Topology,finite-type submanifolds,open,,1307.6582
1830,Geometry,Geometry and Topology,finite-type submanifolds,open,,1307.6582
1831,Geometry,Geometry and Topology,finite-type submanifolds,open,,1307.6582
1832,Geometry,Geometry and Topology,finite-type submanifolds,open,,1307.6582
1833,Geometry,Geometry and Topology,finite-type submanifolds,open,,1307.6582
1834,Geometry,Geometry and Topology,finite-type submanifolds,open,,1307.6582
1835,Geometry,Geometry and Topology,Dupin hypersurfaces and finite type submanifolds,open,,1307.6582
1836,Geometry,Geometry and Topology,Finite-type submanifolds,unknown,,1307.6582
1837,Geometry,Geometry and Topology,Finite-type submanifolds,open,,1307.6582
1838,Geometry,Geometry and Topology,finite type submanifolds,unknown,,1307.6582
1839,Geometry,Geometry and Topology,Finite-type submanifolds,open,,1307.6582
1840,Geometry,Geometry and Topology,finite type submanifolds,open,,1307.6582
1841,Geometry,Geometry and Topology,Biharmonic submanifolds,partially_solved,,1307.6582
1842,Geometry,Geometry and Topology,Biharmonic submanifolds,open,,1307.6582
1843,Geometry,Geometry and Topology,biharmonic submanifolds,partially_solved,,1307.6582
1844,Combinatorics,Discrete Mathematics and Combinatorics,visibility graphs,solved,"Unsolved Problems in Visibility Graphs of Points, Segments and Polygons",1012.5187
1845,Combinatorics,Discrete Mathematics and Combinatorics,Discrete geometry / visibility graphs,partially_solved,"Unsolved Problems in Visibility Graphs of Points, Segments and Polygons",1012.5187
1846,Geometry,Geometry and Topology,Biharmonic submanifolds,open,,1307.6582
1847,Geometry,Geometry and Topology,finite-type submanifolds,unknown,,1307.6582
1848,Combinatorics,Discrete Mathematics and Combinatorics,visibility graphs,solved,"Unsolved Problems in Visibility Graphs of Points, Segments and Polygons",1012.5187
1849,Combinatorics,Discrete Mathematics and Combinatorics,visibility graphs,solved,"Unsolved Problems in Visibility Graphs of Points, Segments and Polygons",1012.5187
1850,Algebraic Geometry,Geometry and Topology,Waldschmidt constants,open,Recent developments and open problems in linear series,1101.4363
1851,Geometry,Geometry and Topology,Finite-type submanifolds,partially_solved,,1307.6582
1852,Geometry,Geometry and Topology,finite type submanifolds,open,,1307.6582
1853,Combinatorics,Discrete Mathematics and Combinatorics,visibility graphs,solved,"Unsolved Problems in Visibility Graphs of Points, Segments and Polygons",1012.5187
1854,Combinatorics,Discrete Mathematics and Combinatorics,Visibility graphs / alternating paths,solved,"Unsolved Problems in Visibility Graphs of Points, Segments and Polygons",1012.5187
1855,Geometry,Geometry and Topology,closed geodesics on spheres,open,,1308.5417
1856,PDEs and Dynamical Systems,"Analysis, PDEs, and Dynamics",Ergodic geodesic flows,open,,1308.5417
1857,Algebra,Algebra and Representation Theory,Waldschmidt constants and star configurations,unknown,Recent developments and open problems in linear series,1101.4363
1858,Geometry,Geometry and Topology,closed geodesics on Finsler manifolds,open,,1308.5417
1859,Geometry,Geometry and Topology,Closed geodesics on Finsler spheres,open,,1308.5417
1860,Algebraic Geometry,Geometry and Topology,Linear series on blow-ups of projective space,open,Recent developments and open problems in linear series,1101.4363
1861,Geometry,Geometry and Topology,linear systems on blow-ups of P^2,unknown,Recent developments and open problems in linear series,1101.4363
1862,Geometry,Geometry and Topology,closed geodesics on Finsler spheres,open,,1308.5417
1863,Geometry,Geometry and Topology,closed geodesics on Riemannian manifolds,partially_solved,,1308.5417
1864,Algebraic Geometry,Geometry and Topology,Hilbert schemes of points on surfaces,open,Recent developments and open problems in linear series,1101.4363
1865,Geometry,Geometry and Topology,Linear series and ideal sheaves on surfaces,open,Recent developments and open problems in linear series,1101.4363
1866,Geometry,Geometry and Topology,Finsler geometry and closed geodesics,open,,1308.5417
1867,PDEs and Dynamical Systems,"Analysis, PDEs, and Dynamics",closed magnetic geodesics,open,,1308.5417
1868,Algebraic Geometry,Geometry and Topology,linear systems on blow-ups of the plane,open,Recent developments and open problems in linear series,1101.4363
1869,Geometry,Geometry and Topology,Seshadri constants and étale covers,partially_solved,Recent developments and open problems in linear series,1101.4363
1870,Geometry,Geometry and Topology,Finsler geometry / Kropina metrics,partially_solved,,1308.5417
1871,Geometry,Geometry and Topology,Loop space topology and geodesics,open,,1308.5417
1872,Algebra,Algebra and Representation Theory,Orlik-Terao algebras,open,Recent developments and open problems in linear series,1101.4363
1873,Algebra,Algebra and Representation Theory,symbolic powers and containment problem,partially_solved,Recent developments and open problems in linear series,1101.4363
1874,Geometry,Geometry and Topology,closed geodesics and loop space homology,open,,1308.5417
1875,Geometry,Geometry and Topology,closed geodesics and free loop space homology,unknown,,1308.5417
1876,Geometry,Geometry and Topology,linear series on blow-ups of the projective plane,open,Recent developments and open problems in linear series,1101.4363
1877,Geometry,Geometry and Topology,Bounded negativity in surface families,open,Recent developments and open problems in linear series,1101.4363
1878,PDEs and Dynamical Systems,"Analysis, PDEs, and Dynamics",Anosov geodesic flows,open,,1308.5417
1879,Geometry,Geometry and Topology,Riemannian manifolds without conjugate points,open,,1308.5417
1880,Algebraic Geometry,Geometry and Topology,Seshadri constants on surfaces,open,Recent developments and open problems in linear series,1101.4363
1881,Geometry,Geometry and Topology,Linear systems on blow-ups of P^2,open,Recent developments and open problems in linear series,1101.4363
1882,Geometry,Geometry and Topology,Geometric group theory and Riemannian geometry,open,,1308.5417
1883,Geometry,Geometry and Topology,Marked length spectrum rigidity,partially_solved,,1308.5417
1884,Algebraic Geometry,Geometry and Topology,Linear systems of plane curves with base points,open,Recent developments and open problems in linear series,1101.4363
1885,Geometry,Geometry and Topology,Bounded Negativity Conjecture,open,Recent developments and open problems in linear series,1101.4363
1886,Geometry,Geometry and Topology,marked length spectrum rigidity,partially_solved,,1308.5417
1887,Geometry,Geometry and Topology,Boundary rigidity of Riemannian manifolds,partially_solved,,1308.5417
1888,Geometry,Geometry and Topology,Bounded negativity on algebraic surfaces,solved,Recent developments and open problems in linear series,1101.4363
1889,Algebraic Geometry,Geometry and Topology,Bounded negativity on surfaces,solved,Recent developments and open problems in linear series,1101.4363
1890,Geometry,Geometry and Topology,geodesic flow rigidity,open,,1308.5417
1891,PDEs and Dynamical Systems,"Analysis, PDEs, and Dynamics",entropy rigidity of geodesic flows,partially_solved,,1308.5417
1892,Mathematical Physics,Mathematical Physics,Galaxy cluster radio mini-halos,partially_solved,Observational properties of diffuse radio sources in Galaxy Clusters: Current knowledge and open questions,1102.1572
1893,Mathematical Physics,Mathematical Physics,Galaxy cluster radio halos,open,Observational properties of diffuse radio sources in Galaxy Clusters: Current knowledge and open questions,1102.1572
1894,Geometry,Geometry and Topology,negative-curvature rigidity and Anosov foliations,unknown,,1308.5417
1895,PDEs and Dynamical Systems,"Analysis, PDEs, and Dynamics",Lyapunov exponents of geodesic flows,unknown,,1308.5417
1896,Mathematical Physics,Mathematical Physics,Galaxy cluster radio halos,partially_solved,Observational properties of diffuse radio sources in Galaxy Clusters: Current knowledge and open questions,1102.1572
1897,Mathematical Physics,Mathematical Physics,Galaxy cluster radio emission spectra,partially_solved,Observational properties of diffuse radio sources in Galaxy Clusters: Current knowledge and open questions,1102.1572
1898,Geometry,Geometry and Topology,Hyperbolic 3-manifolds and closed geodesics,open,,1308.5417
1899,PDEs and Dynamical Systems,"Analysis, PDEs, and Dynamics",Ergodicity of geodesic flows,open,,1308.5417
1900,Mathematical Physics,Mathematical Physics,Galaxy cluster radio halos and relics,open,Observational properties of diffuse radio sources in Galaxy Clusters: Current knowledge and open questions,1102.1572
1901,Other,Other / Cross-disciplinary,Galaxy cluster radio relics and merger shocks,partially_solved,Observational properties of diffuse radio sources in Galaxy Clusters: Current knowledge and open questions,1102.1572
1902,Geometry,Geometry and Topology,Geodesics on non-positively curved surfaces,open,,1308.5417
1903,Geometry,Geometry and Topology,Closed geodesics on nonpositively curved surfaces,open,,1308.5417
1904,Mathematical Physics,Mathematical Physics,galaxy cluster diffuse radio emission,open,Observational properties of diffuse radio sources in Galaxy Clusters: Current knowledge and open questions,1102.1572
1905,Other,Other / Cross-disciplinary,galaxy cluster radio halos,partially_solved,Observational properties of diffuse radio sources in Galaxy Clusters: Current knowledge and open questions,1102.1572
1906,PDEs and Dynamical Systems,"Analysis, PDEs, and Dynamics",Finsler geodesic flows without conjugate points,open,,1308.5417
1907,Geometry,Geometry and Topology,Manifolds without conjugate points,open,,1308.5417
1908,Mathematical Physics,Mathematical Physics,Beam-beam dynamics in particle accelerators,open,Observations and Open Questions in Beam-Beam Interactions,1102.2432
1909,Mathematical Physics,Mathematical Physics,Beam-beam dynamics in colliders,open,Observations and Open Questions in Beam-Beam Interactions,1102.2432
1910,Geometry,Geometry and Topology,Riemannian manifolds without conjugate points,open,,1308.5417
1911,Geometry,Geometry and Topology,Riemannian manifolds without conjugate points,open,,1308.5417
1912,Mathematical Physics,Mathematical Physics,beam-beam dynamics and diffusion scaling,open,Observations and Open Questions in Beam-Beam Interactions,1102.2432
1913,Mathematical Physics,Mathematical Physics,Beam-beam dynamics in colliders,open,Observations and Open Questions in Beam-Beam Interactions,1102.2432
1914,Geometry,Geometry and Topology,Riemannian geometry without conjugate points,partially_solved,,1308.5417
1915,Geometry,Geometry and Topology,no-conjugate-points rigidity of symmetric spaces,open,,1308.5417
1916,Mathematical Physics,Mathematical Physics,beam-beam interactions and crab cavities,unknown,Observations and Open Questions in Beam-Beam Interactions,1102.2432
1917,Mathematical Physics,Mathematical Physics,beam-beam interactions in hadron colliders,open,Observations and Open Questions in Beam-Beam Interactions,1102.2432
1918,Geometry,Geometry and Topology,No-conjugate-points rigidity,open,,1308.5417
1919,PDEs and Dynamical Systems,"Analysis, PDEs, and Dynamics",magnetic flows on surfaces,open,,1308.5417
1920,Mathematical Physics,Mathematical Physics,beam-beam interactions in particle accelerators,unknown,Observations and Open Questions in Beam-Beam Interactions,1102.2432
1921,Mathematical Physics,Mathematical Physics,Coherent beam-beam dynamics,partially_solved,Observations and Open Questions in Beam-Beam Interactions,1102.2432
1922,PDEs and Dynamical Systems,"Analysis, PDEs, and Dynamics",Ergodicity of geodesic flows,open,,1308.5417
1923,PDEs and Dynamical Systems,"Analysis, PDEs, and Dynamics",Geodesic flows and topological entropy,partially_solved,,1308.5417
1924,Mathematical Physics,Mathematical Physics,Beam-beam compensation in particle accelerators,partially_solved,Observations and Open Questions in Beam-Beam Interactions,1102.2432
1925,Mathematical Physics,Mathematical Physics,Accelerator beam dynamics,partially_solved,Observations and Open Questions in Beam-Beam Interactions,1102.2432
1926,PDEs and Dynamical Systems,"Analysis, PDEs, and Dynamics",geodesic flows and topological entropy,partially_solved,,1308.5417
1927,PDEs and Dynamical Systems,"Analysis, PDEs, and Dynamics",Geodesic flows and topological entropy,partially_solved,,1308.5417
1928,Mathematical Physics,Mathematical Physics,Beam-beam dynamics in particle colliders,open,Observations and Open Questions in Beam-Beam Interactions,1102.2432
1929,Mathematical Physics,Mathematical Physics,beam-beam dynamics and luminosity,unknown,Observations and Open Questions in Beam-Beam Interactions,1102.2432
1930,Geometry,Geometry and Topology,closed geodesics on Riemannian/Finsler manifolds,open,,1308.5417
1931,PDEs and Dynamical Systems,"Analysis, PDEs, and Dynamics",geodesic flows on surfaces,open,,1308.5417
1932,Mathematical Physics,Mathematical Physics,Beam-beam dynamics in hadron colliders,unknown,Observations and Open Questions in Beam-Beam Interactions,1102.2432
1933,Combinatorics,Discrete Mathematics and Combinatorics,bimagic squares,unknown,Bimagic Squares of Bimagic Squares and an Open Problem,1102.3052
1934,Geometry,Geometry and Topology,Finsler metrics of constant flag curvature,partially_solved,,1308.5417
1935,Geometry,Geometry and Topology,Finsler metrics of constant curvature,unknown,,1308.5417
1936,Geometry,Geometry and Topology,Finsler geometry / totally geodesic submanifolds,unknown,,1308.5417
1937,Geometry,Geometry and Topology,Finsler geodesics and positive flag curvature,unknown,,1308.5417
1938,Geometry,Geometry and Topology,Closed geodesics and asymptotic rays,open,,1308.5417
1939,Geometry,Geometry and Topology,Systolic geometry on surfaces,unknown,,1308.5417
1940,Geometry,Geometry and Topology,Systolic geometry on S^2,solved,,1308.5417
1941,Geometry,Geometry and Topology,Systolic inequalities,partially_solved,,1308.5417
1942,Geometry,Geometry and Topology,systolic geometry of closed geodesics,open,,1308.5417
1943,Geometry,Geometry and Topology,Riemannian manifolds with closed geodesics,open,,1308.5417
1944,Geometry,Geometry and Topology,Riemannian geometry / closed geodesics (Besse manifolds),partially_solved,,1308.5417
1945,Geometry,Geometry and Topology,Lorentzian closed geodesics,solved,,1308.5417
1946,Geometry,Geometry and Topology,Semi-Riemannian geodesics,open,,1308.5417
1947,Geometry,Geometry and Topology,Pseudo-Riemannian geodesic completeness,open,,1308.5417
1948,Geometry,Geometry and Topology,Conformal Lorentzian geometry,open,,1308.5417
1949,PDEs and Dynamical Systems,"Analysis, PDEs, and Dynamics",integrable geodesic flows,open,,1308.5417
1950,PDEs and Dynamical Systems,"Analysis, PDEs, and Dynamics",Geodesic flows and entropy,open,,1308.5417
1951,Geometry,Geometry and Topology,Projectively equivalent Finsler metrics,partially_solved,,1308.5417
1952,Number Theory,Number Theory,Riemann zeta function,open,Hilbert's 1990 ICM lecture. The 23 problems.,10618B
1953,Geometry,Geometry and Topology,Finsler geometry / Landsberg unicorn problem,open,,1308.5417
1954,Geometry,Geometry and Topology,Monohedral tilings of Euclidean space,partially_solved,Hilbert's 1990 ICM lecture. The 23 problems.,10618B
1955,PDEs and Dynamical Systems,"Analysis, PDEs, and Dynamics",Polynomial integrals of geodesic flows,open,,1308.5417
1956,Combinatorics,Discrete Mathematics and Combinatorics,Polyomino tilings of the plane,partially_solved,Hilbert's 1990 ICM lecture. The 23 problems.,10618B
1957,PDEs and Dynamical Systems,"Analysis, PDEs, and Dynamics",Birkhoff conjecture on integrable billiards,partially_solved,,1308.5417
1958,Geometry,Geometry and Topology,sphere packing,partially_solved,Hilbert's 1990 ICM lecture. The 23 problems.,10618B
1959,Geometry,Geometry and Topology,stationary geodesic nets,open,,1308.5417
1960,Geometry,Geometry and Topology,Higher-dimensional uniformization and automorphic functions,open,Hilbert's 1990 ICM lecture. The 23 problems.,10618B
1961,Geometry,Geometry and Topology,stationary geodesic nets,partially_solved,,1308.5417
1962,Geometry,Geometry and Topology,parallel tensor fields on pseudo-Riemannian manifolds,unknown,,1308.5417
1963,Geometry,Geometry and Topology,Finsler geometry / geodesic equivalence,open,,1308.5417
1964,Geometry,Geometry and Topology,Metrizability of projective structures,partially_solved,,1308.5417
1965,Geometry,Geometry and Topology,Metrizability of path structures,open,,1308.5417
1966,Geometry,Geometry and Topology,Projectively equivalent pseudo-Riemannian metrics,unknown,,1308.5417
1967,Number Theory,Number Theory,Hilbert's tenth problem and computability,open,,1309.2682
1968,Algebra,Algebra and Representation Theory,finite groups with automorphisms,open,,1401.0300
1969,Mathematical Physics,Mathematical Physics,Dipolar Ising ferromagnet domains,partially_solved,Collective Phenomena in the LiHoxY1−xF4 Quantum Ising Magnet: Recent Progress and Open Questions,1103.1537
1970,Algebra,Algebra and Representation Theory,Finite simple groups and element orders,open,,1401.0300
1971,Algebra,Algebra and Representation Theory,Soluble subgroups of symmetric and alternating groups,open,,1401.0300
1972,Mathematical Physics,Mathematical Physics,Quantum Ising magnets,partially_solved,Collective Phenomena in the LiHoxY1−xF4 Quantum Ising Magnet: Recent Progress and Open Questions,1103.1537
1973,Mathematical Physics,Mathematical Physics,disordered quantum Ising magnets,open,Collective Phenomena in the LiHoxY1−xF4 Quantum Ising Magnet: Recent Progress and Open Questions,1103.1537
1974,Algebra,Algebra and Representation Theory,Finite group theory; intersections of solvable subgroups,open,,1401.0300
1975,Algebra,Algebra and Representation Theory,Sylow subgroups of finitary permutation groups,unknown,,1401.0300
1976,Mathematical Physics,Mathematical Physics,disordered transverse-field Ising models,partially_solved,Collective Phenomena in the LiHoxY1−xF4 Quantum Ising Magnet: Recent Progress and Open Questions,1103.1537
1977,Mathematical Physics,Mathematical Physics,Random-field Ising magnets and Griffiths singularities,open,Collective Phenomena in the LiHoxY1−xF4 Quantum Ising Magnet: Recent Progress and Open Questions,1103.1537
1978,Algebra,Algebra and Representation Theory,Finitary permutation groups,open,,1401.0300
1979,Algebra,Algebra and Representation Theory,IYB-groups and left braces,open,,1401.0300
1980,Mathematical Physics,Mathematical Physics,dipolar Ising spin glasses,open,Collective Phenomena in the LiHoxY1−xF4 Quantum Ising Magnet: Recent Progress and Open Questions,1103.1537
1981,Mathematical Physics,Mathematical Physics,dilute dipolar Ising magnets / spin glasses,open,Collective Phenomena in the LiHoxY1−xF4 Quantum Ising Magnet: Recent Progress and Open Questions,1103.1537
1982,Algebra,Algebra and Representation Theory,class transposition groups,solved,,1401.0300
1983,Algebra,Algebra and Representation Theory,profinite and pro-p groups,open,,1401.0300
1984,Mathematical Physics,Mathematical Physics,Dilute dipolar Ising spin glasses,open,Collective Phenomena in the LiHoxY1−xF4 Quantum Ising Magnet: Recent Progress and Open Questions,1103.1537
1985,Mathematical Physics,Mathematical Physics,dilute dipolar Ising spin glass,open,Collective Phenomena in the LiHoxY1−xF4 Quantum Ising Magnet: Recent Progress and Open Questions,1103.1537
1986,Algebra,Algebra and Representation Theory,Finite group presentations,open,,1401.0300
1987,Algebra,Algebra and Representation Theory,Ultraproducts of groups,open,,1401.0300
1988,Mathematical Physics,Mathematical Physics,dilute dipolar Ising magnets / antiglass dynamics,partially_solved,Collective Phenomena in the LiHoxY1−xF4 Quantum Ising Magnet: Recent Progress and Open Questions,1103.1537
1989,Mathematical Physics,Mathematical Physics,Diluted dipolar Ising spin glasses,partially_solved,Collective Phenomena in the LiHoxY1−xF4 Quantum Ising Magnet: Recent Progress and Open Questions,1103.1537
1990,Algebra,Algebra and Representation Theory,Ultraproducts of groups,solved,,1401.0300
1991,Algebra,Algebra and Representation Theory,Abelian groups and duals,open,,1401.0300
1992,Mathematical Physics,Mathematical Physics,Quantum Monte Carlo / dilute dipolar Ising magnets,open,Collective Phenomena in the LiHoxY1−xF4 Quantum Ising Magnet: Recent Progress and Open Questions,1103.1537
1993,Mathematical Physics,Mathematical Physics,Diluted dipolar Ising magnets,open,Collective Phenomena in the LiHoxY1−xF4 Quantum Ising Magnet: Recent Progress and Open Questions,1103.1537
1994,Algebra,Algebra and Representation Theory,Inner endomorphisms of groups,solved,,1401.0300
1995,Algebra,Algebra and Representation Theory,Infinite symmetric groups and amalgamated free products,open,,1401.0300
1996,Mathematical Physics,Mathematical Physics,Time-dependent density-functional theory,open,Some open questions in TDDFT: Clues from Lattice Models and Kadanoff-Baym Dynamics,1103.2291
1997,Mathematical Physics,Mathematical Physics,Time-dependent density functional theory kernels,open,Some open questions in TDDFT: Clues from Lattice Models and Kadanoff-Baym Dynamics,1103.2291
1998,Algebra,Algebra and Representation Theory,Group and monoid generating sets,open,,1401.0300
1999,Algebra,Algebra and Representation Theory,Class operators on group varieties,open,,1401.0300
2000,Mathematical Physics,Mathematical Physics,lattice TDDFT density-potential mapping,partially_solved,Some open questions in TDDFT: Clues from Lattice Models and Kadanoff-Baym Dynamics,1103.2291
2001,Mathematical Physics,Mathematical Physics,Nonequilibrium Green's functions / TDDFT,open,Some open questions in TDDFT: Clues from Lattice Models and Kadanoff-Baym Dynamics,1103.2291
2002,Algebra,Algebra and Representation Theory,Factorizations of finite groups,open,,1401.0300
2003,Logic and Foundations,Logic and Foundations,Groups of finite Morley rank,open,,1401.0300
2004,Mathematical Physics,Mathematical Physics,TDDFT linear response on Hubbard lattices,open,Some open questions in TDDFT: Clues from Lattice Models and Kadanoff-Baym Dynamics,1103.2291
2005,Mathematical Physics,Mathematical Physics,Lattice TDDFT exchange-correlation kernels,open,Some open questions in TDDFT: Clues from Lattice Models and Kadanoff-Baym Dynamics,1103.2291
2006,Logic and Foundations,Logic and Foundations,Groups of finite Morley rank,open,,1401.0300
2007,Algebra,Algebra and Representation Theory,Groups of finite Morley rank,open,,1401.0300
2008,Algebra,Algebra and Representation Theory,Hopfian groups and wreath products,open,,1401.0300
2009,Algebra,Algebra and Representation Theory,Enhanced power graphs of finite groups,open,,1401.0300
2010,Algebra,Algebra and Representation Theory,Power graphs of finite groups,partially_solved,,1401.0300
2011,Algebra,Algebra and Representation Theory,Generation of finite simple groups by Sylow subgroups,partially_solved,,1401.0300
2012,Algebra,Algebra and Representation Theory,Sylow subgroup intersections in finite groups,partially_solved,,1401.0300
2013,Algebra,Algebra and Representation Theory,Derangements in finite simple permutation groups,partially_solved,,1401.0300
2014,Algebra,Algebra and Representation Theory,Derangements in finite simple permutation groups,partially_solved,,1401.0300
